FIELD|NAMES,name,x,y
FIELD|KEYS,1,0,0
depot,40,50
node1,45,68
node2,45,70
node3,42,66
node4,42,68
node5,42,65
node6,40,69
node7,40,66
node8,38,68
node9,38,70
node10,35,66
node11,35,69
node12,25,85
node13,22,75
node14,22,85
node15,20,80
node16,20,85
node17,18,75
node18,15,75
node19,15,80
node20,30,50
node21,30,52
node22,28,52
node23,28,55
node24,25,50
node25,25,52
node26,25,55
node27,23,52
node28,23,55
node29,20,50
node30,20,55
node31,10,35
node32,10,40
node33,8,40
node34,8,45
node35,5,35
node36,5,45
node37,2,40
node38,0,40
node39,0,45
node40,35,30
node41,35,32
node42,33,32
node43,33,35
node44,32,30
node45,30,30
node46,30,32
node47,30,35
node48,28,30
node49,28,35
node50,26,32
node51,25,30
node52,25,35
node53,44,5
node54,42,10
node55,42,15
node56,40,5
node57,40,15
node58,38,5
node59,38,15
node60,35,5
node61,50,30
node62,50,35
node63,50,40
node64,48,30
node65,48,40
node66,47,35
node67,47,40
node68,45,30
node69,45,35
node70,95,30
node71,95,35
node72,53,30
node73,92,30
node74,53,35
node75,45,65
node76,90,35
node77,88,30
node78,88,35
node79,87,30
node80,85,25
node81,85,35
node82,75,55
node83,72,55
node84,70,58
node85,68,60
node86,66,55
node87,65,55
node88,65,60
node89,63,58
node90,60,55
node91,60,60
node92,67,85
node93,65,85
node94,65,82
node95,62,80
node96,60,80
node97,60,85
node98,58,75
node99,55,80
node100,55,85

