FIELD|NAMES,name,x,y
FIELD|KEYS,1,0,0
depot,35,35
node1,41,49
node2,35,17
node3,55,45
node4,55,20
node5,15,30
node6,25,30
node7,20,50
node8,10,43
node9,55,60
node10,30,60
node11,20,65
node12,50,35
node13,30,25
node14,15,10
node15,30,5
node16,10,20
node17,5,30
node18,20,40
node19,15,60
node20,45,65
node21,45,20
node22,45,10
node23,55,5
node24,65,35
node25,65,20
node26,45,30
node27,35,40
node28,41,37
node29,64,42
node30,40,60
node31,31,52
node32,35,69
node33,53,52
node34,65,55
node35,63,65
node36,2,60
node37,20,20
node38,5,5
node39,60,12
node40,40,25
node41,42,7
node42,24,12
node43,23,3
node44,11,14
node45,6,38
node46,2,48
node47,8,56
node48,13,52
node49,6,68
node50,47,47
node51,49,58
node52,27,43
node53,37,31
node54,57,29
node55,63,23
node56,53,12
node57,32,12
node58,36,26
node59,21,24
node60,17,34
node61,12,24
node62,24,58
node63,27,69
node64,15,77
node65,62,77
node66,49,73
node67,67,5
node68,56,39
node69,37,47
node70,37,56
node71,57,68
node72,47,16
node73,44,17
node74,46,13
node75,49,11
node76,49,42
node77,53,43
node78,61,52
node79,57,48
node80,56,37
node81,55,54
node82,15,47
node83,14,37
node84,11,31
node85,16,22
node86,4,18
node87,28,18
node88,26,52
node89,26,35
node90,31,67
node91,15,19
node92,22,22
node93,18,24
node94,26,27
node95,25,24
node96,22,27
node97,25,21
node98,19,21
node99,20,26
node100,18,18

