FIELD|NAMES,name,first,last,capacity,open,close
FIELD|KEYS,1,0,0,0,0,0
vehicle1,depot,depot,1000,0,1000
vehicle2,depot,depot,1000,0,1000
vehicle3,depot,depot,1000,0,1000
vehicle4,depot,depot,1000,0,1000
vehicle5,depot,depot,1000,0,1000
vehicle6,depot,depot,1000,0,1000
vehicle7,depot,depot,1000,0,1000
vehicle8,depot,depot,1000,0,1000
vehicle9,depot,depot,1000,0,1000
vehicle10,depot,depot,1000,0,1000
vehicle11,depot,depot,1000,0,1000
vehicle12,depot,depot,1000,0,1000
vehicle13,depot,depot,1000,0,1000
vehicle14,depot,depot,1000,0,1000
vehicle15,depot,depot,1000,0,1000
vehicle16,depot,depot,1000,0,1000
vehicle17,depot,depot,1000,0,1000
vehicle18,depot,depot,1000,0,1000
vehicle19,depot,depot,1000,0,1000
vehicle20,depot,depot,1000,0,1000
vehicle21,depot,depot,1000,0,1000
vehicle22,depot,depot,1000,0,1000
vehicle23,depot,depot,1000,0,1000
vehicle24,depot,depot,1000,0,1000
vehicle25,depot,depot,1000,0,1000

