FIELD|NAMES,name,node,quantity,minTime,maxTime,dropTime
FIELD|KEYS,1,0,0,0,0,0
visit1,node1,10,73,204,10
visit2,node2,7,18,147,10
visit3,node3,13,76,165,10
visit4,node4,19,73,195,10
visit5,node5,26,20,167,10
visit6,node6,3,49,158,10
visit7,node7,5,36,135,10
visit8,node8,9,50,149,10
visit9,node9,16,47,156,10
visit10,node10,16,85,172,10
visit11,node11,12,33,152,10
visit12,node12,19,15,133,10
visit13,node13,23,79,208,10
visit14,node14,20,32,187,10
visit15,node15,8,30,152,10
visit16,node16,19,29,139,10
visit17,node17,2,60,189,10
visit18,node18,12,47,136,10
visit19,node19,17,32,146,10
visit20,node20,9,79,182,10
visit21,node21,11,18,136,10
visit22,node22,18,50,153,10
visit23,node23,29,36,155,10
visit24,node24,3,58,190,10
visit25,node25,6,56,186,10
visit26,node26,17,87,186,10
visit27,node27,16,5,140,10
visit28,node28,16,6,136,10
visit29,node29,9,29,150,10
visit30,node30,21,25,132,10
visit31,node31,27,17,138,10
visit32,node32,23,67,186,10
visit33,node33,11,24,161,10
visit34,node34,14,70,173,10
visit35,node35,8,54,178,10
visit36,node36,5,41,178,10
visit37,node37,8,87,190,10
visit38,node38,16,42,153,10
visit39,node39,31,33,186,10
visit40,node40,9,40,139,10
visit41,node41,5,43,160,10
visit42,node42,5,25,158,10
visit43,node43,7,82,185,10
visit44,node44,18,31,144,10
visit45,node45,16,29,169,10
visit46,node46,1,63,180,10
visit47,node47,27,34,176,10
visit48,node48,36,65,192,10
visit49,node49,30,73,152,10
visit50,node50,13,75,182,10
visit51,node51,10,36,149,10
visit52,node52,9,11,133,10
visit53,node53,14,51,148,10
visit54,node54,18,90,197,10
visit55,node55,2,69,189,10
visit56,node56,6,76,190,10
visit57,node57,7,48,163,10
visit58,node58,18,84,210,10
visit59,node59,28,17,183,10
visit60,node60,3,70,201,10
visit61,node61,13,29,132,10
visit62,node62,19,25,154,10
visit63,node63,10,34,172,10
visit64,node64,9,46,165,10
visit65,node65,20,49,170,10
visit66,node66,25,68,179,10
visit67,node67,25,43,156,10
visit68,node68,36,80,198,10
visit69,node69,6,12,137,10
visit70,node70,5,48,198,10
visit71,node71,15,39,148,10
visit72,node72,25,22,170,10
visit73,node73,9,30,135,10
visit74,node74,8,74,195,10
visit75,node75,18,27,141,10
visit76,node76,13,27,128,10
visit77,node77,14,72,200,10
visit78,node78,3,42,159,10
visit79,node79,23,47,146,10
visit80,node80,6,73,198,10
visit81,node81,26,57,140,10
visit82,node82,16,23,146,10
visit83,node83,11,21,157,10
visit84,node84,7,57,154,10
visit85,node85,41,44,147,10
visit86,node86,35,49,148,10
visit87,node87,26,61,134,10
visit88,node88,9,21,136,10
visit89,node89,15,68,211,10
visit90,node90,3,46,153,10
visit91,node91,1,70,194,10
visit92,node92,2,18,159,10
visit93,node93,22,60,199,10
visit94,node94,27,58,151,10
visit95,node95,20,14,143,10
visit96,node96,11,89,190,10
visit97,node97,12,92,183,10
visit98,node98,10,21,142,10
visit99,node99,9,33,142,10
visit100,node100,17,51,195,10

