FIELD|NAMES,name,x,y
FIELD|KEYS,1,0,0
depot,40,50
node1,52,75
node2,45,70
node3,62,69
node4,60,66
node5,42,65
node6,16,42
node7,58,70
node8,34,60
node9,28,70
node10,35,66
node11,35,69
node12,25,85
node13,22,75
node14,22,85
node15,20,80
node16,20,85
node17,18,75
node18,15,75
node19,15,80
node20,30,50
node21,30,56
node22,28,52
node23,14,66
node24,25,50
node25,22,66
node26,8,62
node27,23,52
node28,4,55
node29,20,50
node30,20,55
node31,10,35
node32,10,40
node33,8,40
node34,8,45
node35,5,35
node36,5,45
node37,2,40
node38,0,40
node39,0,45
node40,36,18
node41,35,32
node42,33,32
node43,33,35
node44,32,20
node45,30,30
node46,34,25
node47,30,35
node48,36,40
node49,48,20
node50,26,32

