FIELD|NAMES,name,x,y
FIELD|KEYS,1,0,0
depot,35,35
node1,41,49
node2,35,17
node3,55,45
node4,55,20
node5,15,30
node6,25,30
node7,20,50
node8,10,43
node9,55,60
node10,30,60
node11,20,65
node12,50,35
node13,30,25
node14,15,10
node15,30,5
node16,10,20
node17,5,30
node18,20,40
node19,15,60
node20,45,65
node21,45,20
node22,45,10
node23,55,5
node24,65,35
node25,65,20
node26,45,30
node27,35,40
node28,41,37
node29,64,42
node30,40,60
node31,31,52
node32,35,69
node33,53,52
node34,65,55
node35,63,65
node36,2,60
node37,20,20
node38,5,5
node39,60,12
node40,40,25
node41,42,7
node42,24,12
node43,23,3
node44,11,14
node45,6,38
node46,2,48
node47,8,56
node48,13,52
node49,6,68
node50,47,47

