# Author(s); Coelho J.,  Vanhoucke M.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Reference; Coelho J., Vanhoucke M. 2011. 'Multi-mode resource-constrained project scheduling using RCPSP and SAT solvers', European Journal of Operational Research 213, 1: 73 - 82.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Date; 2011/01/01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Hardware / software; Stevin Supercomputer Infrastructure, C++, compiler intel/2017.02, Linux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Stop criteria;cumulated results from several runs, on open instances only. Maximal run: 100 runs x 500k schedules;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Submission date; 2017/5/26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;Type;Value;Time;Solution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;heuristic;31;633000;1;3;2;3;3;3;2;3;1;2;3;3;2;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;2;3;2;3;2;3;3;2;2;3;3;3;3;3;3;2;3;2;1;3;3;0;0;0;0;0;0;1;0;0;7;7;7;0;0;1;7;1;2;0;6;10;0;10;16;14;21;14;12;14;14;16;18;12;10;10;9;24;25;24;24;20;21;19;16;16;21;21;20;14;16;18;31
2;heuristic;25;510000;2;3;2;3;2;3;3;3;3;2;3;3;3;3;2;3;2;1;3;1;2;3;3;3;2;1;2;1;3;2;3;2;2;2;3;3;3;2;3;3;1;2;1;2;2;2;3;3;3;2;0;0;0;0;0;0;0;0;0;0;9;0;3;0;0;8;10;10;8;0;8;10;10;10;10;17;14;10;9;7;16;17;18;22;21;18;17;17;21;18;17;17;21;18;16;16;12;17;16;16;10;25
3;heuristic;26;488000;2;2;2;2;2;2;2;3;2;3;1;3;1;2;3;3;3;3;2;3;3;2;2;1;2;3;2;3;3;3;3;3;2;3;2;2;1;3;3;1;3;3;2;3;3;3;2;3;3;2;0;0;0;0;0;0;2;0;0;5;0;5;0;2;8;2;6;8;0;8;6;9;8;13;11;7;6;11;8;16;16;16;22;15;17;16;24;23;15;15;20;16;11;22;20;14;14;15;13;13;8;26
4;heuristic;29;641000;3;1;3;2;3;3;3;2;3;1;2;2;3;3;3;2;3;3;1;3;3;3;3;3;1;3;2;2;3;3;1;3;2;3;3;1;3;3;3;2;3;2;3;3;3;3;3;2;2;3;0;0;0;0;0;0;0;0;0;0;9;10;8;0;0;0;11;2;8;0;0;4;0;0;3;18;13;7;8;9;0;20;17;18;13;12;25;21;19;22;21;20;17;17;18;14;14;11;17;9;9;29
5;heuristic;26;657000;1;1;3;2;3;3;2;3;3;3;2;3;3;3;3;3;3;2;3;2;3;2;3;2;3;2;3;1;3;2;2;2;3;1;1;2;3;2;3;3;2;2;3;1;3;2;3;3;3;3;0;0;0;0;0;0;0;1;0;1;0;5;0;8;1;0;1;0;10;6;10;8;10;10;9;12;12;8;9;17;10;16;14;6;7;24;20;18;18;18;18;16;18;16;19;16;16;16;16;16;12;26
6;heuristic;24;422000;3;2;3;2;3;2;1;3;3;3;2;3;3;1;2;3;3;1;3;3;3;1;1;2;3;3;3;2;1;1;3;3;3;3;2;2;3;1;1;2;1;2;3;3;3;3;3;2;3;3;0;0;0;0;0;0;0;8;0;0;5;0;0;9;8;6;8;0;9;0;0;0;9;11;11;11;8;8;8;15;14;6;0;15;14;14;15;15;21;22;15;20;17;19;18;16;14;14;14;17;11;24
7;heuristic;25;390000;2;2;1;2;1;2;3;2;3;2;1;2;3;3;1;2;3;3;2;3;2;3;1;2;2;3;3;3;2;1;2;2;2;3;3;1;1;2;3;3;2;1;3;2;2;3;1;2;1;3;0;0;0;0;0;8;0;0;0;0;5;8;0;0;0;8;8;8;0;8;0;3;10;9;9;10;9;10;10;19;17;22;17;17;14;22;17;17;19;17;14;18;22;9;16;12;16;11;19;9;9;25
8;heuristic;22;350000;1;2;1;1;3;1;2;3;1;3;3;3;3;3;3;3;1;3;3;1;3;2;3;3;1;2;2;2;1;3;1;3;3;2;2;2;1;3;2;2;2;2;2;2;2;3;3;3;3;3;0;0;0;0;1;0;0;0;0;7;0;2;3;2;3;0;2;0;1;0;9;2;12;2;1;10;10;8;11;9;13;9;3;12;14;17;19;18;14;17;14;18;19;13;10;15;11;12;14;11;10;22
9;heuristic;24;413000;1;3;2;3;2;3;2;2;2;2;3;3;3;1;1;3;3;2;2;3;1;3;3;3;1;2;2;3;1;3;1;3;2;2;3;3;3;2;3;3;3;3;3;3;2;2;1;2;2;3;0;0;0;0;0;0;1;0;0;0;0;0;4;0;10;12;1;4;5;8;0;0;0;0;6;14;8;8;4;14;13;23;14;19;23;14;14;14;14;14;16;14;14;14;10;10;22;19;20;17;13;24
10;heuristic;23;382000;2;1;2;3;3;3;2;2;2;3;3;3;2;2;3;3;3;2;3;3;1;3;3;1;3;3;3;3;3;1;1;2;1;2;3;2;2;2;2;3;2;2;3;3;3;3;3;3;2;1;0;0;0;0;0;0;0;0;6;7;5;0;0;0;10;4;0;3;6;7;0;10;9;4;9;11;11;12;14;0;21;22;21;20;19;14;14;21;19;15;11;13;21;11;12;10;12;12;11;18;9;23
