FIELD|NAMES,name,first,last,capacity,open,close
FIELD|KEYS,1,0,0,0,0,0
vehicle1,depot,depot,1000,0,960
vehicle2,depot,depot,1000,0,960
vehicle3,depot,depot,1000,0,960
vehicle4,depot,depot,1000,0,960
vehicle5,depot,depot,1000,0,960
vehicle6,depot,depot,1000,0,960
vehicle7,depot,depot,1000,0,960
vehicle8,depot,depot,1000,0,960
vehicle9,depot,depot,1000,0,960
vehicle10,depot,depot,1000,0,960
vehicle11,depot,depot,1000,0,960
vehicle12,depot,depot,1000,0,960
vehicle13,depot,depot,1000,0,960
vehicle14,depot,depot,1000,0,960
vehicle15,depot,depot,1000,0,960
vehicle16,depot,depot,1000,0,960
vehicle17,depot,depot,1000,0,960
vehicle18,depot,depot,1000,0,960
vehicle19,depot,depot,1000,0,960
vehicle20,depot,depot,1000,0,960
vehicle21,depot,depot,1000,0,960
vehicle22,depot,depot,1000,0,960
vehicle23,depot,depot,1000,0,960
vehicle24,depot,depot,1000,0,960
vehicle25,depot,depot,1000,0,960

